Year,Area,V Grade,Days,Sessions,Distinct Boulders,Completed,Flashed,Total Attempts,Total Minutes,Completion Rate,Success Rate,Flash Rate,Bounty Extra Soft,Soft,Hard,FA
All-Time,Bishop,4.0,5,8,8,7,2,19,72,0.875,0.875,0.250,0,0,0,0
All-Time,Bishop,3.0,3,7,7,7,5,9,15,1.000,1.000,0.714,0,0,1,0
All-Time,Bishop,2.0,5,5,5,5,3,11,48,1.000,1.000,0.600,0,0,2,0
2017,Bishop,All Grades,4,7,6,2,1,84,356,0.333,0.286,0.167,0,0,0,0
2017,Bishop,9.0,3,3,2,0,0,65,240,0.000,0.000,0.000,0,0,0,0
2017,Bishop,7.0,1,1,1,0,0,5,45,0.000,0.000,0.000,0,0,0,0
2017,Bishop,6.0,2,2,2,1,1,6,11,0.500,0.500,0.500,0,0,0,0
2017,Bishop,5.0,1,1,1,1,0,8,60,1.000,1.000,0.000,0,0,0,0
2016,Bishop,All Grades,12,32,30,20,5,166,817,0.667,0.625,0.167,0,2,4,0
2016,Bishop,9.0,1,1,1,1,0,8,45,1.000,1.000,0.000,0,1,0,0
2016,Bishop,8.0,2,5,4,0,0,55,250,0.000,0.000,0.000,0,0,0,0
2016,Bishop,7.0,4,4,4,3,0,28,145,0.750,0.750,0.000,0,1,0,0
2016,Bishop,6.0,2,5,4,2,0,27,152,0.500,0.400,0.000,0,0,0,0
2016,Bishop,5.0,3,5,5,3,1,24,126,0.600,0.600,0.200,0,0,1,0
2016,Bishop,4.0,4,5,5,4,1,9,41,0.800,0.800,0.200,0,0,0,0
2016,Bishop,3.0,2,3,3,3,1,5,11,1.000,1.000,0.333,0,0,1,0
2016,Bishop,2.0,4,4,4,4,2,10,47,1.000,1.000,0.500,0,0,2,0
2015,Bishop,All Grades,1,4,4,0,0,17,100,0.000,0.000,0.000,0,0,0,0
2015,Bishop,9.0,1,1,1,0,0,5,20,0.000,0.000,0.000,0,0,0,0
2015,Bishop,7.0,1,1,1,0,0,5,30,0.000,0.000,0.000,0,0,0,0
2015,Bishop,6.0,1,2,2,0,0,7,50,0.000,0.000,0.000,0,0,0,0
2010,Bishop,All Grades,2,12,12,11,6,60,261,0.917,0.917,0.500,0,0,0,0
2010,Bishop,6.0,2,3,3,2,0,35,165,0.667,0.667,0.000,0,0,0,0
2010,Bishop,5.0,1,1,1,1,0,10,60,1.000,1.000,0.000,0,0,0,0
2010,Bishop,4.0,1,3,3,3,1,10,31,1.000,1.000,0.333,0,0,0,0
2010,Bishop,3.0,1,4,4,4,4,4,4,1.000,1.000,1.000,0,0,0,0
2010,Bishop,2.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
All-Time,Bow Valley,All Grades,1,2,2,1,0,3,3,0.500,0.500,0.000,0,0,0,0
All-Time,Bow Valley,4.0,1,2,2,1,0,3,3,0.500,0.500,0.000,0,0,0,0
2025,Bow Valley,All Grades,1,2,2,1,0,3,3,0.500,0.500,0.000,0,0,0,0
2025,Bow Valley,4.0,1,2,2,1,0,3,3,0.500,0.500,0.000,0,0,0,0
All-Time,Brione,All Grades,4,11,11,5,3,77,358,0.455,0.455,0.273,0,0,1,0
All-Time,Brione,10.0,1,1,1,0,0,20,120,0.000,0.000,0.000,0,0,0,0
All-Time,Brione,9.0,1,2,2,0,0,15,80,0.000,0.000,0.000,0,0,0,0
All-Time,Brione,7.5,1,1,1,0,0,20,90,0.000,0.000,0.000,0,0,0,0
All-Time,Brione,6.0,2,2,2,2,1,5,21,1.000,1.000,0.500,0,0,0,0
All-Time,Brione,5.5,1,2,2,1,1,3,6,0.500,0.500,0.500,0,0,0,0
All-Time,Brione,5.0,2,2,2,1,0,13,40,0.500,0.500,0.000,0,0,0,0
All-Time,Brione,4.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,1,0
2024,Brione,All Grades,4,11,11,5,3,77,358,0.455,0.455,0.273,0,0,1,0
2024,Brione,10.0,1,1,1,0,0,20,120,0.000,0.000,0.000,0,0,0,0
2024,Brione,9.0,1,2,2,0,0,15,80,0.000,0.000,0.000,0,0,0,0
2024,Brione,7.5,1,1,1,0,0,20,90,0.000,0.000,0.000,0,0,0,0
2024,Brione,6.0,2,2,2,2,1,5,21,1.000,1.000,0.500,0,0,0,0
