player_name,teams,end_year,start_year,years,ip,k_9,bb_9,k_bb,hr_9,FIP,park_FIP,FIP_minus,FIP_WAR,ERA,park_ERA,ERA_minus,ERA_WAR
Clay Rapada,NYA,2013,2011,3,122.7,9.17,4.33,2.14,0.81,3.794,3.757,94.59,0.66,3.595,3.559,89.84,0.96
Clay Zavada,Col,2011,2010,2,97.7,9.77,3.41,3.04,1.11,3.759,3.557,87.25,0.90,3.503,3.315,81.75,1.19
Clayton Blackburn,Sea,2015,2014,2,423.3,7.29,2.21,3.31,1.00,3.776,3.814,101.07,3.74,3.654,3.691,97.80,4.44
Clayton Kershaw,Pit/Tor,2020,2009,12,2473.3,10.00,2.43,4.93,0.84,3.029,3.059,78.01,51.84,3.046,3.077,78.59,51.46
Clayton Richard,Cle/Col/Mil/ARI,2019,2009,7,672.7,5.79,3.28,1.87,0.98,4.458,4.436,111.93,1.97,4.509,4.493,114.09,1.86
Cliff Lee,ChN/Bal/Atl/Ari/Tor/FLA/SFG/PIT,2016,2005,12,2516.0,7.44,1.94,4.38,0.88,3.530,3.553,85.65,42.50,3.284,3.302,80.14,51.04
Cliff Politte,CLV/Phi,2007,2005,3,233.9,6.77,2.58,2.66,1.35,4.585,4.600,101.85,0.35,4.347,4.359,96.20,1.06
Cody Allen,Sea,2019,2014,6,439.3,11.19,3.20,3.72,1.09,3.358,3.392,89.30,3.55,3.852,3.891,102.26,0.80
Cody Anderson,ChA,2018,2018,1,103.3,6.53,2.09,3.13,1.57,4.657,4.595,120.84,-0.05,4.010,3.957,104.06,0.77
Cody Eppley,SF,2013,2013,1,29.0,5.59,4.03,1.39,0.31,3.732,3.821,97.72,0.11,4.030,4.126,105.53,0.00
Cody Martin,Mia,2015,2015,1,160.7,8.35,4.37,1.91,1.18,4.516,4.501,118.93,0.07,3.980,3.967,104.82,1.13
Cody Reed,KC,2020,2015,2,20.6,13.94,2.61,5.33,0.87,2.213,2.206,57.02,0.51,5.230,5.213,134.70,-0.30
Cody Sedlock,Cle,2020,2015,2,39.4,5.95,5.03,1.18,1.83,6.181,6.243,161.35,-1.08,7.320,7.394,191.07,-1.63
Colby Lewis,Cin/Bal/ChN/Oak/StL/Was,2017,2010,6,1072.6,7.78,2.09,3.82,1.28,4.039,4.030,102.78,8.76,3.852,3.844,98.04,11.28
Cole Hamels,Ari/Bos/Col/Phi/Atl/BAL/Mil,2020,2005,16,3071.9,8.63,2.64,3.41,0.98,3.630,3.564,88.28,48.01,3.548,3.476,86.67,51.36
